CELL1,CELL2,CELL3,CELL4,CELL5,CELL6,CELL7,CELL8,CELL9,CELL10,CELL11,CELL12,CELL13,CELL14,CELL15,CELL16,CELL17,CELL18,CELL19,CELL20,CELL21,CELL22,CELL23,CELL24,CELL25,CELL26,CELL27,CELL28,CELL29,CELL30,CELL31,CELL32,CELL33,CELL34,CELL35,CELL36,CELL37,CELL38,CELL39,CELL40,CELL41,CELL42,CELL43,CELL44,CELL45,CELL46,CELL47,CELL48,CELL49,CELL50,CELL51,CELL52,CELL53,CELL54,CELL55,CELL56,CELL57,CELL58,CELL59,CELL60,CELL61,CELL62,CELL63,CELL64
3.283671,3.364984,3.390572,0.7832922,3.380428,3.379574,3.379622,3.361722,3.375027,3.358732,3.319526,3.370486,3.355456,3.384478,3.272069,3.239507,3.342747,3.347008,3.383474,3.39574,3.372035,3.289679,3.360439,3.368054,3.374476,3.372829,3.328003,3.315377,3.382155,3.188063,3.351652,3.234176,3.352167,3.340865,3.400141,0.4190486,3.328519,3.378104,3.351718,3.37695,3.248908,3.33368,3.266259,3.378034,3.381848,3.387734,3.345395,3.334871,3.372892,3.267645,3.396272,3.385776,3.365944,3.371163,3.254678,3.366602,3.377548,3.372796,3.340745,3.339018,3.391362,3.386312,3.226777,3.350717
3.283672,3.364982,3.390572,0.7832982,3.380421,3.379572,3.379621,3.361724,3.375027,3.358727,3.319524,3.370484,3.355453,3.384477,3.272065,3.239504,3.342739,3.34701,3.383476,3.395749,3.372037,3.289671,3.360438,3.368053,3.374474,3.372826,3.328002,3.315371,3.382154,3.188062,3.351648,3.234176,3.352161,3.340862,3.400137,0.4190549,3.328516,3.3781,3.35171,3.376951,3.248907,3.333674,3.266255,3.37803,3.381846,3.387733,3.345391,3.334871,3.37289,3.26764,3.396273,3.385777,3.365942,3.371159,3.254674,3.3666,3.377549,3.372795,3.340736,3.339015,3.391361,3.386308,3.226771,3.350714
3.283666,3.364977,3.390572,0.7833051,3.380423,3.379567,3.37962,3.361721,3.375025,3.358723,3.31952,3.370482,3.355445,3.384476,3.27206,3.239497,3.342733,3.347008,3.383473,3.395747,3.372031,3.289664,3.360434,3.368044,3.374471,3.372825,3.327996,3.315366,3.382151,3.188057,3.351644,3.234172,3.352162,3.340856,3.400137,0.4190535,3.32851,3.378098,3.351707,3.376947,3.248899,3.333673,3.266248,3.378031,3.381839,3.387734,3.345388,3.334868,3.372888,3.267637,3.396275,3.385775,3.365937,3.371157,3.254672,3.366594,3.377544,3.37279,3.340736,3.339007,3.391364,3.386306,3.22677,3.350709
3.283665,3.364975,3.39057,0.7833072,3.380423,3.379564,3.37962,3.361717,3.375025,3.358721,3.319518,3.370479,3.355446,3.384475,3.272059,3.239498,3.342729,3.347005,3.383474,3.395745,3.372031,3.289663,3.360431,3.368044,3.374469,3.372822,3.327996,3.315367,3.382152,3.188055,3.351642,3.234172,3.352158,3.340853,3.400139,0.4190597,3.328509,3.378099,3.351706,3.376947,3.248902,3.333668,3.266244,3.378027,3.381835,3.387731,3.345385,3.334865,3.372884,3.267633,3.396275,3.385774,3.365936,3.371156,3.254667,3.366594,3.377542,3.372789,3.340734,3.339004,3.391365,3.386306,3.226767,3.350707
3.283663,3.364974,3.390569,0.7833094,3.380422,3.379564,3.379619,3.361715,3.375021,3.35872,3.319514,3.370478,3.355443,3.384474,3.272058,3.239495,3.342723,3.347003,3.383472,3.395746,3.372028,3.289657,3.36043,3.368044,3.374468,3.37282,3.327992,3.315362,3.382151,3.188052,3.35164,3.234165,3.352155,3.340851,3.400136,0.4190567,3.328505,3.378095,3.351701,3.376945,3.248899,3.333664,3.266238,3.378026,3.381839,3.387733,3.345383,3.334863,3.372882,3.267633,3.39627,3.385773,3.365935,3.371153,3.254664,3.366587,3.377542,3.372788,3.34073,3.339001,3.391361,3.386301,3.226763,3.350703
3.28366,3.364972,3.390567,0.7833113,3.38042,3.37956,3.379617,3.361713,3.375021,3.358719,3.319511,3.370478,3.355443,3.384472,3.272052,3.239489,3.342719,3.347003,3.383471,3.395746,3.372026,3.289658,3.360427,3.368041,3.374466,3.372819,3.32799,3.315361,3.382149,3.188051,3.351638,3.234165,3.352155,3.340847,3.400137,0.41906,3.328504,3.378095,3.351704,3.376944,3.248893,3.333662,3.266237,3.378026,3.381835,3.387731,3.345384,3.334864,3.372883,3.267629,3.396272,3.385771,3.365935,3.371156,3.254661,3.366589,3.377544,3.372786,3.340732,3.339002,3.391363,3.386301,3.22676,3.350704
3.283658,3.364968,3.390568,0.7833127,3.380416,3.379561,3.379616,3.361708,3.375019,3.358714,3.319509,3.370477,3.355438,3.384473,3.272052,3.239488,3.342714,3.347,3.383471,3.395743,3.372023,3.289654,3.360426,3.368039,3.374465,3.372816,3.327985,3.315358,3.382148,3.188048,3.351638,3.234164,3.35215,3.340846,3.400136,0.4190609,3.328499,3.378096,3.351701,3.376941,3.24889,3.333659,3.26623,3.378024,3.381834,3.387731,3.345377,3.33486,3.372882,3.267628,3.396272,3.385774,3.365932,3.371153,3.254661,3.36659,3.377542,3.372785,3.34073,3.338999,3.39136,3.386298,3.22676,3.350703
3.283656,3.364969,3.390565,0.7833163,3.380415,3.379562,3.379616,3.361704,3.375018,3.358712,3.319508,3.370474,3.355437,3.384472,3.272051,3.239485,3.342712,3.346998,3.383468,3.395743,3.37202,3.28965,3.360424,3.368037,3.374465,3.372817,3.327985,3.315353,3.382145,3.188045,3.351635,3.234163,3.352147,3.340845,3.400135,0.4190596,3.328501,3.378095,3.351696,3.376942,3.248889,3.33366,3.266225,3.378024,3.381834,3.38773,3.34538,3.334859,3.372879,3.267623,3.396271,3.385771,3.365931,3.371152,3.254658,3.366585,3.377542,3.372783,3.340726,3.338998,3.391362,3.386299,3.226758,3.3507
3.283655,3.364967,3.390564,0.7833193,3.380416,3.379557,3.379616,3.361704,3.375014,3.358713,3.319502,3.370474,3.355435,3.384472,3.272046,3.239483,3.342705,3.346998,3.38347,3.395744,3.372022,3.289649,3.360424,3.368036,3.374461,3.372814,3.327983,3.315352,3.382146,3.188043,3.351632,3.23416,3.352147,3.340841,3.400132,0.4190614,3.328494,3.378091,3.351695,3.376938,3.248886,3.333654,3.266223,3.37802,3.381832,3.387729,3.345376,3.334856,3.372878,3.267618,3.39627,3.385767,3.36593,3.371147,3.254654,3.36659,3.377539,3.372781,3.340725,3.338993,3.391361,3.386297,3.226754,3.350697
3.283653,3.364967,3.390564,0.7833213,3.380415,3.379556,3.379615,3.361705,3.375013,3.358709,3.319503,3.370474,3.355432,3.384469,3.272045,3.239481,3.342703,3.346996,3.383467,3.395746,3.372019,3.289647,3.360421,3.368034,3.37446,3.372811,3.327979,3.31535,3.382146,3.188042,3.35163,3.234159,3.352142,3.34084,3.400134,0.4190625,3.328491,3.378093,3.351695,3.376942,3.248883,3.333654,3.266219,3.378021,3.38183,3.387729,3.345375,3.334856,3.372876,3.267619,3.396271,3.385766,3.365927,3.37115,3.254652,3.366585,3.377539,3.372777,3.340721,3.338992,3.39136,3.386297,3.226747,3.350695
